내외국인별,성별,연령별,총이동,입국자,출국자,국제순이동
외국인,계,50세,7204,3164,4040,-876
외국인,계,51세,7049,3142,3907,-765
외국인,계,52세,7005,3114,3891,-777
외국인,계,53세,6579,2971,3608,-637
외국인,계,54세,6242,2740,3502,-762
외국인,계,55세,7167,3271,3896,-625
외국인,계,56세,7773,3530,4243,-713
외국인,계,57세,8175,3632,4543,-911
외국인,계,58세,8972,4093,4879,-786
외국인,계,59세,5856,2511,3345,-834
외국인,계,60세,5224,2347,2877,-530
외국인,계,61세,5318,2198,3120,-922
외국인,계,62세,4281,1538,2743,-1205
외국인,계,63세,4365,1551,2814,-1263
외국인,계,64세,3955,1449,2506,-1057
외국인,계,65세,3588,1395,2193,-798
외국인,계,66세,3254,1209,2045,-836
외국인,계,67세,2589,986,1603,-617
외국인,계,68세,2053,806,1247,-441
외국인,계,69세,1746,709,1037,-328
외국인,계,70세,1508,619,889,-270
외국인,계,71세,1264,548,716,-168
외국인,계,72세,1010,443,567,-124
외국인,계,73세,673,294,379,-85
외국인,계,74세,619,303,316,-13
외국인,계,75세,465,233,232,1
외국인,계,76세,413,216,197,19
외국인,계,77세,356,178,178,0
외국인,계,78세,358,191,167,24
외국인,계,79세,322,157,165,-8
외국인,계,80세,275,152,123,29
외국인,계,81세,216,112,104,8
외국인,계,82세,186,110,76,34
외국인,계,83세,149,78,71,7
외국인,계,84세,113,70,43,27
외국인,계,85세이상,389,220,169,51
