31495,1980-1990,경기도,성남시분당구,20221207164420530280
31496,1990-2000,경기도,화성시,20221214204244543183
31497,1990-2000,서울특별시,송파구,20221214124443555991
31498,1990-2000,서울특별시,송파구,20221215134627560889
31499,1990-2000,서울특별시,송파구,20221210122410574939
31500,1990-2000,인천광역시,미추홀구,20221206004538589157
31501,1990-2000,서울특별시,서대문구,20221229211207602174
31502,1990-2000,서울특별시,송파구,20221221200719615861
31503,1990-2000,강원도,삼척시,20221215234044639389
31504,2000-2010,경상남도,거제시,20221223001337652492
31505,2000-2010,경상남도,거제시,20221229105337657985
31506,1990-2000,경기도,이천시,20221205103148676323
31507,2000-2010,서울특별시,중구,20221228174702689006
31508,2000-2010,경기도,평택시,20221228165553701960
31509,2000-2010,경기도,평택시,20221228170258707166
31510,2000-2010,서울특별시,금천구,20221206101230714086
31511,1990-2000,서울특별시,송파구,20221205194940729044
31512,1990-2000,서울특별시,송파구,20221205194940735385
31513,1990-2000,서울특별시,송파구,20221231145041748191
31514,2000-2010,광주광역시,동구,20221215140938765431
31515,1990-2000,부산광역시,기장군,20221229164706777445
31516,1990-2000,부산광역시,기장군,20221230021156783143
31517,1990-2000,서울특별시,금천구,20221230024917797101
31518,1990-2000,부산광역시,기장군,20221220163555802791
31519,1980-1990,대구광역시,동구,20221226104944819048
31520,1990-2000,인천광역시,남동구,20221220150712832753
31521,1990-2000,서울특별시,금천구,20221227125934839009
31522,1990-2000,부산광역시,기장군,20221227164254853008
31523,1990-2000,서울특별시,강북구,20221227141947865991
31524,1990-2000,서울특별시,강북구,20221227022621871140
31525,1990-2000,대구광역시,북구,20221210173433886156
31526,1990-2000,서울특별시,금천구,20221231120401891493
31527,1990-2000,경상북도,구미시,20221210160235906110
31528,1990-2000,부산광역시,북구,20221223212258934969
31529,1990-2000,부산광역시,북구,20221201183719939976
31530,1990-2000,서울특별시,강동구,20221210154734953252
31531,1990-2000,서울특별시,강동구,20221210154734959279
31532,1990-2000,서울특별시,강동구,20221210155122964411
31533,2000-2010,대구광역시,북구,20221215130052988208
31534,2000-2010,서울특별시,금천구,20221214193109994211
31535,2000-2010,서울특별시,금천구,20221214193110012312
