"행정구역(시군구)별(1)","연령별(1)",2021,2021,2021,2021,2021,2021,2021
"행정구역(시군구)별(1)","연령별(1)",한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 취득한 자
"행정구역(시군구)별(1)","연령별(1)",소계,외국인근로자,결혼이민자,유학생,외국국적동포,기타외국인,소계
"경기도","20 - 29세",101218,40401,7782,17956,11307,23772,4484
"경기도","30 - 39세",166159,55266,20939,2372,36066,51516,19290
"경기도","40 - 49세",100519,24182,13352,216,27424,35345,17524
"경기도","50 - 59세",96087,28716,9010,26,32113,26222,14304
"경기도","60 - 69세",53889,2064,2864,*,39853,9105,7050
"경기도","70세 이상",14147,135,490,*,12271,1251,2630
"강원도","계",24582,5398,3868,4131,2312,8873,4367
"강원도","0 - 9세",380,*,*,*,9,371,78
"강원도","10 - 19세",529,6,*,276,15,228,87
"강원도","20 - 29세",8053,1946,853,3433,95,1726,459
"강원도","30 - 39세",7145,2271,1416,397,250,2811,1736
"강원도","40 - 49세",3863,797,765,22,299,1980,1109
"강원도","50 - 59세",2800,337,655,*,540,1265,614
"강원도","60 - 69세",1379,38,151,*,813,377,210
"강원도","70세 이상",433,*,24,*,291,115,74
"충청북도","계",56631,16392,5672,3864,11637,19066,6212
"충청북도","0 - 9세",2013,*,*,*,50,1963,129
"충청북도","10 - 19세",1346,31,*,198,97,1017,179
"충청북도","20 - 29세",14389,5722,1207,3289,868,3303,583
"충청북도","30 - 39세",17386,6721,2273,352,2232,5808,2423
"충청북도","40 - 49세",9611,2175,1164,24,2335,3913,1476
"충청북도","50 - 59세",7612,1628,791,*,2887,2305,921
"충청북도","60 - 69세",3449,112,210,*,2477,650,345
"충청북도","70세 이상",825,*,24,*,691,107,156
"충청남도","계",98612,28266,9129,7310,21702,32205,9801
"충청남도","0 - 9세",3658,*,*,*,62,3596,266
"충청남도","10 - 19세",2632,86,6,746,133,1661,309
"충청남도","20 - 29세",24455,9594,1778,5992,1688,5403,829
"충청남도","30 - 39세",30349,11140,3761,500,5464,9484,3775
"충청남도","40 - 49세",17944,4431,1830,66,4843,6774,2359
"충청남도","50 - 59세",12600,2796,1351,6,4388,4059,1471
"충청남도","60 - 69세",5456,211,342,*,3840,1063,573
